file,x,y
08813216-Figure1-1.png,50,368
08813216-Figure4-1.png,135,265
1-s2.0-S0009250913008336-main-Figure10-1.png,55,348
1-s2.0-S0009250913008336-main-Figure11-1.png,56,356
1-s2.0-S0009250913008336-main-Figure2-1.png,59,361
1-s2.0-S0009250913008336-main-Figure3-1.png,60,363
1-s2.0-S0009250913008336-main-Figure8-1.png,62,387
1-s2.0-S0009250913008336-main-Figure9-1.png,56,346
1-s2.0-S0009250914000463-main-Figure1-1.png,56,305
1-s2.0-S0009250916306625-main-Figure4-1.png,42,337
1-s2.0-S0009250916306625-main-Figure6-1.png,45,347
1-s2.0-S0016236111006739-main-Figure2-1.png,60,258
1-s2.0-S0016236112010988-main-Figure4-1.png,53,383
1-s2.0-S0016236114000477-main-Figure5-1.png,64,353
1-s2.0-S0016236114000477-main-Figure8-1.png,56,323
1-s2.0-S0016236114004244-main-Figure3-1.png,57,310
1-s2.0-S0016236114008667-main-Figure2-1.png,49,253
1-s2.0-S0016236114008667-main-Figure3-1.png,75,231
1-s2.0-S0016236114008850-main-Figure4-1.png,65,276
1-s2.0-S0016236115009734-main-Figure4-1.png,46,281
1-s2.0-S0016236115009734-main-Figure5-1.png,49,299
1-s2.0-S0016236115010984-main-Figure1-1.png,41,367
1-s2.0-S0016236115011084-main-Figure5-1.png,50,342
1-s2.0-S0016236115011084-main-Figure6-1.png,89,425
1-s2.0-S0016236115011084-main-Figure7-1.png,48,433
1-s2.0-S0016236115011345-main-Figure2-1.png,51,321
1-s2.0-S0016236116302447-main-Figure1-1.png,50,358
1-s2.0-S0016236116302447-main-Figure2-1.png,57,397
1-s2.0-S0016236116302447-main-Figure3-1.png,58,407
1-s2.0-S0016236116304227-main-Figure6-1.png,61,314
1-s2.0-S0016236116308730-main-Figure2-1.png,47,314
1-s2.0-S0016236116309875-main-Figure3-1.png,31,318
1-s2.0-S0016236116311632-main-Figure5-1.png,49,329
1-s2.0-S0016236117301709-main-Figure1-1.png,53,316
1-s2.0-S0016236117301709-main-Figure5-1.png,75,378
1-s2.0-S0016236117305367-main-Figure4-1.png,51,331
1-s2.0-S0016236117307172-main-Figure2-1.png,51,269
1-s2.0-S0016236117307172-main-Figure3-1.png,68,295
1-s2.0-S0016236117307172-main-Figure4-1.png,67,345
1-s2.0-S0016236117307615-main-Figure1-1.png,49,295
1-s2.0-S0016236117307615-main-Figure2-1.png,42,252
1-s2.0-S0016236117307639-main-Figure9-1.png,44,277
1-s2.0-S0016236117307895-main-Figure7-1.png,48,316
1-s2.0-S0016236117309912-main-Figure1-1.png,71,565
1-s2.0-S0016236117315831-main-Figure1-1.png,56,474
1-s2.0-S0016236117315831-main-Figure6-1.png,48,468
1-s2.0-S0016236118303363-main-Figure3-1.png,46,345
1-s2.0-S0016236118303363-main-Figure5-1.png,40,292
1-s2.0-S0016236118304496-main-Figure4-1.png,51,394
1-s2.0-S0016236118304496-main-Figure5-1.png,54,515
1-s2.0-S0016236118304502-main-Figure4-1.png,75,508
1-s2.0-S0016236118316387-main-Figure10-1.png,47,370
1-s2.0-S0016236118316387-main-Figure6-1.png,47,364
1-s2.0-S0016236118316387-main-Figure8-1.png,47,370
1-s2.0-S0016236118317782-main-Figure4-1.png,54,440
1-s2.0-S0016236118318027-main-Figure5-1.png,56,292
1-s2.0-S0016236118318398-main-Figure10-1.png,93,381
1-s2.0-S0016236118318398-main-Figure11-1.png,58,336
1-s2.0-S0016236118318398-main-Figure12-1.png,55,236
1-s2.0-S0016236118318398-main-Figure4-1.png,79,357
1-s2.0-S0016236118318398-main-Figure9-1.png,79,290
1-s2.0-S0016236118318404-main-Figure3-1.png,45,310
1-s2.0-S0016236118318489-main-Figure2-1.png,68,459
1-s2.0-S0016236118318489-main-Figure3-1.png,67,441
1-s2.0-S0016236118318489-main-Figure4-1.png,73,428
1-s2.0-S0016236118318489-main-Figure5-1.png,64,438
1-s2.0-S0016236118318489-main-Figure7-1.png,51,250
1-s2.0-S0016236118321835-main-Figure4-1.png,44,331
1-s2.0-S0016236119302388-main-Figure1-1.png,64,369
1-s2.0-S0016236119302388-main-Figure3-1.png,48,367
1-s2.0-S0016236119303709-main-Figure2-1.png,48,358
1-s2.0-S0016236119305137-main-Figure1-1.png,51,295
1-s2.0-S0016236119305137-main-Figure3-1.png,78,332
1-s2.0-S0016236119307495-main-Figure1-1.png,49,357
1-s2.0-S0016236119308063-main-Figure4-1.png,53,358
